Name,Image,Price,PhanLoai,Quan jogger,Quan jean,Quan au,Ao thun nam,Ao khoac,Ao so mi,Ao hoodie
ÁO THUN U1ATN11102FOSHT,https://storage.googleapis.com/cdn.nhanh.vn/store/7136/ps/20211118/18112021051126_dai_dien_nam_thumb.jpg, 285000₫,0,0,0,0,1,0,0,0
ÁO THUN U1ATN12107FOSBA,https://storage.googleapis.com/cdn.nhanh.vn/store/7136/ps/20211230/30122021121223_ao_thun_nam_U1ATN12107FOSBA_toto_shop_thumb.jpg, 285000₫,0,0,0,0,1,0,0,0
ÁO THUN U1ATN12106FOSBA,https://storage.googleapis.com/cdn.nhanh.vn/store/7136/ps/20211230/30122021111235_ao_thun_U1ATN12106FOSBA_toto_shop__1__thumb.jpg, 285000₫,0,0,0,0,1,0,0,0
QUẦN JEAN M1QJN12107FSFRI,https://storage.googleapis.com/cdn.nhanh.vn/store/7136/ps/20220104/04012022040111_quan_jean_nam_M1QJN12107FSFRI_toto_shop__1__thumb.jpg, 385000₫,1,0,1,0,0,0,0,0
QUẦN JEAN M1QJN12106BSFTR,https://storage.googleapis.com/cdn.nhanh.vn/store/7136/ps/20211229/29122021091233_quan_jean_nam_M1QJN12106BSFTR_toto_shop__1__thumb.jpg, 385000₫,1,0,1,0,0,0,0,0
ÁO THUN U1ATN12105FOSHT,https://storage.googleapis.com/cdn.nhanh.vn/store/7136/ps/20211229/29122021091200_ao_thun_nam_U1ATN12105FOSHT_toto_shop__1__thumb.jpg, 320000₫,0,0,0,0,1,0,0,0
ÁO THUN U1ATN12104FOSBA,https://storage.googleapis.com/cdn.nhanh.vn/store/7136/ps/20220104/04012022040102_ao_thun_nam_U1ATN12104FOSBA_toto_shop__1__thumb.jpg, 285000₫,0,0,0,0,1,0,0,0
QUẦN JOGGER M1QJK12105FBGCR,https://storage.googleapis.com/cdn.nhanh.vn/store/7136/ps/20211230/30122021121244_quan_jogger_M1QJK12105FBGCR_toto_shop__1__thumb.jpg, 315000₫,1,1,0,0,0,0,0,0
QUẦN JOGGER M1QJK12104FBGCR,https://storage.googleapis.com/cdn.nhanh.vn/store/7136/ps/20211230/30122021121206_quan_jogger_M1QJK12104FBGCR_toto_shop__1__thumb.jpg, 315000₫,1,1,0,0,0,0,0,0
QUẦN JOGGER M1QJK12103FBGCR,https://storage.googleapis.com/cdn.nhanh.vn/store/7136/ps/20211230/30122021121206_quan_jogger_M1QJK12103FBGCR_toto_shop__1__thumb.jpg, 315000₫,1,1,0,0,0,0,0,0
QUẦN JOGGER M1QJK12102FBGCR,https://storage.googleapis.com/cdn.nhanh.vn/store/7136/ps/20211230/30122021121240_quan_jogger_nam_M1QJK12102FBGCR_toto_shop__1__thumb.jpg, 315000₫,1,1,0,0,0,0,0,0
QUẦN JOGGER M1QJK12101FBGCR,https://storage.googleapis.com/cdn.nhanh.vn/store/7136/ps/20211230/30122021121242_quan_joggger_nam_M1QJK12101FBGCR_toto_shop__1__thumb.jpg, 315000₫,1,1,0,0,0,0,0,0
ÁO THUN U1ATN12103FOSBA,https://storage.googleapis.com/cdn.nhanh.vn/store/7136/ps/20220104/04012022040152_ao_thun_nam_U1ATN12103FOSBA_toto_shop__1__thumb.jpg, 265000₫,0,0,0,0,1,0,0,0
QUẦN JEAN M1QJN12105FSFRI,https://storage.googleapis.com/cdn.nhanh.vn/store/7136/ps/20211227/27122021071241_quan_jean_nam_M1QJN12105FSFRI_toto_shop__1__thumb.jpg, 415000₫,1,0,1,0,0,0,0,0
QUẦN JEAN M1QJN12104FSFRI,https://storage.googleapis.com/cdn.nhanh.vn/store/7136/ps/20211227/27122021051249_quan_jean_nam_M1QJN12104FSFRI_toto_shop__1__thumb.jpg, 415000₫,1,0,1,0,0,0,0,0
QUẦN JOGGER M1QJJ12101FSFTR,https://storage.googleapis.com/cdn.nhanh.vn/store/7136/ps/20211208/08122021071258_quan_jogger_nam_M1QJJ12101FSFTR_toto_shop__1__thumb.jpg, 420000₫,1,1,0,0,0,0,0,0
ÁO SƠMI M1SMD12101BOSTR,https://storage.googleapis.com/cdn.nhanh.vn/store/7136/ps/20211217/17122021091244_ao_so_mi_nam_M1SMD12101BOSTR_toto_shop__1__thumb.jpg, 285000₫,0,0,0,0,0,0,1,0
ÁO THUN U1ATN12102SOSHT,https://storage.googleapis.com/cdn.nhanh.vn/store/7136/ps/20211208/08122021071253_ao_thun_nam_U1ATN12102SOSHT_toto_shop__1__thumb.jpg, 285000₫,0,0,0,0,1,0,0,0
ÁO THUN U1ATN12101FOSHT,https://storage.googleapis.com/cdn.nhanh.vn/store/7136/ps/20211208/08122021071218_ao_thun_nam_U1ATN12101FOSHT_toto_shop__1__thumb.jpg, 285000₫,0,0,0,0,1,0,0,0
QUẦN JEAN M1QJN12103SSFRI,https://storage.googleapis.com/cdn.nhanh.vn/store/7136/ps/20211208/08122021071222_quan_jean_nam_M1QJN12103SSFRI_toto_shop__1__thumb.jpg, 425000₫,1,0,1,0,0,0,0,0
QUẦN JEAN M1QJN12102FSFRI,https://storage.googleapis.com/cdn.nhanh.vn/store/7136/ps/20211208/08122021081210_quan_jean_nam_M1QJN12102FSFRI_toto_shop__1__thumb.jpg, 395000₫,1,0,1,0,0,0,0,0
QUẦN JEAN M1QJN12101BSFTR,https://storage.googleapis.com/cdn.nhanh.vn/store/7136/ps/20211208/08122021081227_quan_jean_nam_M1QJN12101BSFTR_toto_shop__1__thumb.jpg, 395000₫,1,0,1,0,0,0,0,0
ÁO SƠMI M1SMN11106FOSHT,https://storage.googleapis.com/cdn.nhanh.vn/store/7136/ps/20211124/24112021081110_ao_so_mi_nam_M1SMN11106FOSHT_toto_shop__1__thumb.jpg, 285000₫,0,0,0,0,0,0,1,0
ÁO SƠMI M1SMN11105FOSHT,https://storage.googleapis.com/cdn.nhanh.vn/store/7136/ps/20211125/25112021071119_ao_so_mi_nam_M1SMN11105FOSHT_toto_shop__1__thumb.jpg, 285000₫,0,0,0,0,0,0,1,0
ÁO SƠMI M1SMN11104FOSHT,https://storage.googleapis.com/cdn.nhanh.vn/store/7136/ps/20211125/25112021071131_ao_so_mi_M1SMN11104FOSHT_toto_shop__1__thumb.jpg, 285000₫,0,0,0,0,0,0,1,0
ÁO SƠMI M1SMN11103FOSHT,https://storage.googleapis.com/cdn.nhanh.vn/store/7136/ps/20211125/25112021061105_ao_so_mi_nam_M1SMN11103FOSHT_toto_shop__1__thumb.jpg, 285000₫,0,0,0,0,0,0,1,0
ÁO SƠMI M1SMN11102FOSHT,https://storage.googleapis.com/cdn.nhanh.vn/store/7136/ps/20211124/24112021081154_ao_so_mi_nam_M1SMN11102FOSHT_toto_shop__1__thumb.jpg, 285000₫,0,0,0,0,0,0,1,0
QUẦN TÂY M1QTY11111BSFTR,https://storage.googleapis.com/cdn.nhanh.vn/store/7136/ps/20211125/25112021051159_quan_tay_nam_M1QTY11111BSFTR_toto_shop__1__thumb.jpg, 385000₫,1,0,0,1,0,0,0,0
QUẦN TÂY M1QTY11110BSFTR,https://storage.googleapis.com/cdn.nhanh.vn/store/7136/ps/20211125/25112021051140_quan_tay_nam_M1QTY11110BSFTR_toto_shop__1__thumb.jpg, 385000₫,1,0,0,1,0,0,0,0
QUẦN TÂY M1QTY11109BSFTR,https://storage.googleapis.com/cdn.nhanh.vn/store/7136/ps/20211125/25112021051126_quan_tay_nam_M1QTY11109BSFTR_toto_shop__1__thumb.jpg, 385000₫,1,0,0,1,0,0,0,0
